final_annotation_v7	n_cells
Tcell_CD4_naive_IL7R	519131
Tcell_CD8_cytotoxic_CCL5	496996
Epithelial_malignancy_discordant	229472
Nonmalignant_Epithelial_CNV_negative	199187
Malignant_Epithelial_high_specificity	185305
Epithelial_malignancy_not_evaluable	163427
Tcell_unresolved_BATF	156631
Macrophage_Inflammatory_IL1B_IL1B	140987
Bcell_Naive_TCL1A	129522
Myeloid_boundary	126209
Bcell_Naive_IGHD	106404
T_NK_ILC_boundary	97349
Fibroblast_myCAF_ACTA2	89122
Tcell_unresolved_NKG7	86794
Plasma_unresolved	81085
Bcell_coarse_provisional	79965
Ambiguous	76072
Macrophage_SPP1_TREM2_SPP1	70223
Plasma_unresolved_KRTCAP2	69779
Macrophage_unresolved_CD52	69588
Neural_Neural_progenitor_SOX2	62127
Macrophage_unresolved	61309
NK_FCGR3A_cytotoxic_FCGR3A	60881
Bcell_unresolved_DNAJB1	55667
Bcell_unresolved_CST3	55409
Unknown	53771
Epithelial_coarse_CNV_not_recomputed	53387
Fibroblast_ECM_CAF_COL1A1	48829
Bcell_unresolved	42344
Tcell_Cycling_T_MKI67	41870
Endothelial_unresolved	41379
Monocyte_Inflammatory_IL1B_IL1B	40731
Fibroblast_Cycling_Fibroblast_TOP2A	39720
NK_XCL1_CD56bright_XCL1	37526
Fibroblast_unresolved	37318
NK_unresolved	35925
Fibroblast_iCAF_CXCL12	35918
Bcell_coarse_subtype_pending	35223
Epithelial_coarse_provisional	33776
Macrophage_unresolved_SERPINE2	32048
NK_coarse_provisional	26924
Fibroblast_iCAF_IL6	26748
Fibroblast_coarse_provisional	26215
Melanocytic_coarse_subtype_pending	24017
Endothelial_Blood_PECAM1	21746
Fibroblast_coarse_subtype_pending	21626
Neural_unresolved	20560
Mast_unresolved	20559
Tcell_coarse_provisional	19572
ILC_coarse_provisional	18164
Macrophage_coarse_subtype_pending	17536
Monocyte_Classical_FCN1_FCN1	16626
Endothelial_Venous_ACKR1_ACKR1	16238
Macrophage_Cycling_Macrophage_MKI67	16129
Plasma_coarse_provisional	16074
Monocyte_unresolved	15695
NK_coarse_subtype_pending	15389
Endothelial_unresolved_PLVAP	15117
Tcell_coarse_subtype_pending	14080
Granulocyte_Neutrophil_mature_FCGR3B	13977
Plasma_unresolved_PFN1	12534
NK_unresolved_DNAJB1	12273
Monocyte_coarse_subtype_pending	11782
Monocyte_Nonclassical_FCGR3A_FCGR3A	11681
Mast_Activated_IL1RL1_LTC4S	11302
Macrophage_coarse_provisional	11237
Mast_Activated_IL1RL1_IL1RL1	10942
Granulocyte_coarse_subtype_pending	10779
ILC_coarse_subtype_pending	10491
HSPC_unresolved	7781
ILC_unresolved_SMCHD1	6164
Endothelial_unresolved_INSR	6158
Granulocyte_unresolved_S100A10	5540
ILC_unresolved_SRGN	5228
Dendritic_unresolved_SPI1	5001
Related_lineage_boundary	4970
Dendritic_unresolved_CD83	4881
B_Plasma_boundary	4839
Dendritic_unresolved	4697
Endothelial_coarse_provisional	4449
Plasma_coarse_subtype_pending	4416
NK_unresolved_CST3	4092
ILC_unresolved	3874
Erythroid_unresolved_PTPRC	3839
HSPC_coarse_provisional	3693
Granulocyte_coarse_provisional	3531
Neural_coarse_provisional	3006
Dendritic_coarse_provisional	2723
Neural_coarse_subtype_pending	2425
Erythroid_Cycling_Erythroid_TOP2A	2354
Dendritic_pDC_LILRA4	2072
Monocyte_coarse_provisional	1912
HSPC_unresolved_MT2A	1676
Erythroid_coarse_subtype_pending	1649
Endothelial_coarse_subtype_pending	1509
Mast_coarse_provisional	1408
Hematopoietic_differentiation_boundary	1232
Erythroid_coarse_provisional	1196
Platelet_coarse	1130
Platelet_coarse_subtype_pending	1067
ILC_unresolved_CD63	993
HSPC_coarse_subtype_pending	907
Mast_coarse_subtype_pending	825
Stromal_boundary	813
Dendritic_coarse_subtype_pending	272
Platelet_coarse_provisional	46
