major_celltype_final	Ambiguous	B_Plasma_boundary	Bcell	Dendritic	Endothelial	Epithelial	Erythroid	Fibroblast	Granulocyte	HSPC	Hematopoietic_differentiation_boundary	ILC	Macrophage	Mast	Melanocytic	Monocyte	Myeloid_boundary	NK	Neural	Plasma	Platelet	Related_lineage_boundary	Stromal_boundary	T_NK_ILC_boundary	Tcell	Unknown
Ambiguous	21922	2059	70316	2607	1708	55939	2845	23302	13104	4567	1038	10552	19898	983	0	12080	44072	16211	2862	9077	1113	0	75	52112	24394	0
Bcell	0	0	389346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dendritic	0	0	0	16651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endothelial	0	0	0	0	100638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epithelial	0	0	0	0	0	777391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erythroid	0	0	0	0	0	0	6193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblast	0	0	0	0	0	0	0	277655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulocyte	0	0	0	0	0	0	0	0	19517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPC	0	0	0	0	0	0	0	0	0	9457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILC	0	0	0	0	0	0	0	0	0	0	0	16259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macrophage	0	0	0	0	0	0	0	0	0	0	0	0	390284	0	0	0	0	0	0	0	0	0	0	0	0	0
Mast	0	0	0	0	0	0	0	0	0	0	0	0	0	42803	0	0	0	0	0	0	0	0	0	0	0	0
Monocyte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84733	0	0	0	0	0	0	0	0	0	0
NK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150697	0	0	0	0	0	0	0	0
Neural	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82687	0	0	0	0	0	0	0
Plasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163398	0	0	0	0	0	0
Platelet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0
Tcell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301422	0
Unknown	54150	2780	44872	388	4250	31224	0	24539	1206	33	194	18103	8875	1250	24017	1614	82137	26102	2569	11413	0	4970	738	45237	9258	53771
