sample_uid	sample_token	gse_id	cancer_type	candidate_policy	cnv_cluster_v2	cell_count	mean_cnv_burden	reference_threshold	infercnv_positive_fraction	copykat_evaluable_cells	copykat_aneuploid_fraction	cluster_label_v2
GSE182109|GSM5518596_rGBM-01-A	GSE182109_GSM5518596_rGBM-01-A_b4083608de6b	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518596_rGBM-01-A_b4083608de6b::0	65	0.1140969917178154	0.05358053497970106	1.0	0		malignant
GSE182109|GSM5518596_rGBM-01-A	GSE182109_GSM5518596_rGBM-01-A_b4083608de6b	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518596_rGBM-01-A_b4083608de6b::1	56	0.014813423156738281	0.05358053497970106	0.017857142857142856	0		non_malignant
GSE182109|GSM5518597_rGBM-01-B	GSE182109_GSM5518597_rGBM-01-B_f23c19478a72	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518597_rGBM-01-B_f23c19478a72::0	195	0.060532305389642715	0.06487952232360843	0.38461538461538464	191	1.0	malignant
GSE182109|GSM5518597_rGBM-01-B	GSE182109_GSM5518597_rGBM-01-B_f23c19478a72	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518597_rGBM-01-B_f23c19478a72::1	160	0.0075387717224657536	0.06487952232360843	0.00625	123	0.08943089430894309	uncertain
GSE182109|GSM5518598_rGBM-01-C	GSE182109_GSM5518598_rGBM-01-C_841895bb466a	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518598_rGBM-01-C_841895bb466a::0	111	0.0169417392462492	0.04728905186057093	0.0990990990990991	0		non_malignant
GSE182109|GSM5518599_rGBM-01-D	GSE182109_GSM5518599_rGBM-01-D_429d510a4918	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518599_rGBM-01-D_429d510a4918::0	364	0.005614057183265686	0.11320375576615348	0.0	327	0.09785932721712538	uncertain
GSE182109|GSM5518599_rGBM-01-D	GSE182109_GSM5518599_rGBM-01-D_429d510a4918	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518599_rGBM-01-D_429d510a4918::1	290	0.07984562963247299	0.11320375576615348	0.23793103448275862	289	0.9896193771626297	malignant
GSE182109|GSM5518600_ndGBM-01-A	GSE182109_GSM5518600_ndGBM-01-A_ee6e142c6e23	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518600_ndGBM-01-A_ee6e142c6e23::2	303	5.8389217883814126e-05	0.028545314520597484	0.0	277	0.0	non_malignant
GSE182109|GSM5518600_ndGBM-01-A	GSE182109_GSM5518600_ndGBM-01-A_ee6e142c6e23	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518600_ndGBM-01-A_ee6e142c6e23::1	1040	0.0037086789961904287	0.028545314520597484	0.0	1024	0.0869140625	uncertain
GSE182109|GSM5518600_ndGBM-01-A	GSE182109_GSM5518600_ndGBM-01-A_ee6e142c6e23	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518600_ndGBM-01-A_ee6e142c6e23::0	2541	0.02703959494829178	0.028545314520597484	0.36717827626918537	2541	0.7493112947658402	malignant
GSE182109|GSM5518601_ndGBM-01-C	GSE182109_GSM5518601_ndGBM-01-C_bef23b1c7a0e	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518601_ndGBM-01-C_bef23b1c7a0e::0	4845	0.023829439654946327	0.0268297772854566	0.339938080495356	4845	0.7845201238390093	malignant
GSE182109|GSM5518601_ndGBM-01-C	GSE182109_GSM5518601_ndGBM-01-C_bef23b1c7a0e	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518601_ndGBM-01-C_bef23b1c7a0e::1	2885	0.004271805286407471	0.0268297772854566	0.0006932409012131716	2830	0.1137809187279152	uncertain
GSE182109|GSM5518601_ndGBM-01-C	GSE182109_GSM5518601_ndGBM-01-C_bef23b1c7a0e	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518601_ndGBM-01-C_bef23b1c7a0e::2	690	7.811708928784356e-05	0.0268297772854566	0.0	604	0.0033112582781456954	uncertain
GSE182109|GSM5518601_ndGBM-01-C	GSE182109_GSM5518601_ndGBM-01-C_bef23b1c7a0e	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518601_ndGBM-01-C_bef23b1c7a0e::3	36	0.0005476950318552554	0.0268297772854566	0.0	29	0.0	non_malignant
GSE182109|GSM5518602_ndGBM-01-D	GSE182109_GSM5518602_ndGBM-01-D_1cd27c76b5e0	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518602_ndGBM-01-D_1cd27c76b5e0::0	4433	0.022593826055526733	0.02430145099759102	0.3516805774870291	4433	0.6300473719828559	malignant
GSE182109|GSM5518602_ndGBM-01-D	GSE182109_GSM5518602_ndGBM-01-D_1cd27c76b5e0	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518602_ndGBM-01-D_1cd27c76b5e0::1	1820	0.0038457538466900587	0.02430145099759102	0.0005494505494505495	1762	0.07037457434733257	uncertain
GSE182109|GSM5518602_ndGBM-01-D	GSE182109_GSM5518602_ndGBM-01-D_1cd27c76b5e0	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518602_ndGBM-01-D_1cd27c76b5e0::2	220	0.0001563983241794631	0.02430145099759102	0.0	160	0.0	non_malignant
GSE182109|GSM5518603_ndGBM-01-F	GSE182109_GSM5518603_ndGBM-01-F_b0d019ec6243	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518603_ndGBM-01-F_b0d019ec6243::0	497	0.010776116512715816	0.033324150480329995	0.008048289738430584	430	0.7883720930232558	malignant
GSE182109|GSM5518603_ndGBM-01-F	GSE182109_GSM5518603_ndGBM-01-F_b0d019ec6243	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518603_ndGBM-01-F_b0d019ec6243::1	310	0.03146793693304062	0.033324150480329995	0.3548387096774194	309	0.0	uncertain
GSE182109|GSM5518606_ndGBM-11-C	GSE182109_GSM5518606_ndGBM-11-C_3e10281f28fc	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518606_ndGBM-11-C_3e10281f28fc::0	83	0.027786985039711	0.019608469381928444	0.37349397590361444	0		uncertain
GSE182109|GSM5518608_ndGBM-02-1	GSE182109_GSM5518608_ndGBM-02-1_ac295836b7b6	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518608_ndGBM-02-1_ac295836b7b6::2	189	0.0031988555565476418	0.08626723915338524	0.0	135	0.0	non_malignant
GSE182109|GSM5518608_ndGBM-02-1	GSE182109_GSM5518608_ndGBM-02-1_ac295836b7b6	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518608_ndGBM-02-1_ac295836b7b6::0	631	0.03212453052401543	0.08626723915338524	0.025356576862123614	629	0.017488076311605722	uncertain
GSE182109|GSM5518608_ndGBM-02-1	GSE182109_GSM5518608_ndGBM-02-1_ac295836b7b6	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518608_ndGBM-02-1_ac295836b7b6::1	248	0.05548129975795746	0.08626723915338524	0.17338709677419356	248	0.6774193548387096	malignant
GSE182109|GSM5518608_ndGBM-02-1	GSE182109_GSM5518608_ndGBM-02-1_ac295836b7b6	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518608_ndGBM-02-1_ac295836b7b6::3	164	0.0016768253408372402	0.08626723915338524	0.0	134	0.0	non_malignant
GSE182109|GSM5518609_ndGBM-02-2	GSE182109_GSM5518609_ndGBM-02-2_bff417455389	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518609_ndGBM-02-2_bff417455389::1	104	0.0093798553571105	0.06593177303671834	0.0	68	0.029411764705882353	uncertain
GSE182109|GSM5518609_ndGBM-02-2	GSE182109_GSM5518609_ndGBM-02-2_bff417455389	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518609_ndGBM-02-2_bff417455389::0	127	0.04311266914010048	0.06593177303671834	0.15748031496062992	127	0.6850393700787402	malignant
GSE182109|GSM5518610_ndGBM-02-4	GSE182109_GSM5518610_ndGBM-02-4_9aad433f6498	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518610_ndGBM-02-4_9aad433f6498::1	226	0.06173776090145111	0.08220719978213316	0.13716814159292035	226	0.9601769911504425	malignant
GSE182109|GSM5518610_ndGBM-02-4	GSE182109_GSM5518610_ndGBM-02-4_9aad433f6498	GSE182109	Glioblastoma	cns_malignancy	GSE182109_GSM5518610_ndGBM-02-4_9aad433f6498::0	561	0.018256423994898796	0.08220719978213316	0.0	533	0.2551594746716698	uncertain
