candidate_policy	infercnv_status	copykat_status	n_samples
cns_malignancy	skipped_insufficient_cells	skipped_insufficient_cells	6
cns_malignancy	success	skipped_insufficient_cells	5
cns_malignancy	success	success	33
epithelial_solid_default	skipped_insufficient_cells	skipped_insufficient_cells	291
epithelial_solid_default	skipped_insufficient_cells	success	25
epithelial_solid_default	success	skipped_algorithm_data_limitation	1
epithelial_solid_default	success	skipped_insufficient_cells	280
epithelial_solid_default	success	success	499
germ_cell_malignancy	skipped_insufficient_cells	skipped_insufficient_cells	2
germ_cell_malignancy	success	skipped_insufficient_cells	2
melanocytic_malignancy	skipped_insufficient_cells	skipped_insufficient_cells	35
melanocytic_malignancy	success	skipped_insufficient_cells	9
melanocytic_malignancy	success	success	18
mesenchymal_malignancy	success	success	11
mixed_mesenchymal_malignancy	skipped_insufficient_cells	skipped_insufficient_cells	1
mixed_mesenchymal_malignancy	success	skipped_insufficient_cells	2
mixed_mesenchymal_malignancy	success	success	18
myeloid_malignancy	skipped_insufficient_cells	skipped_insufficient_cells	11
myeloid_malignancy	skipped_insufficient_cells	success	8
myeloid_malignancy	success	skipped_insufficient_cells	2
myeloid_malignancy	success	success	14
neuroendocrine_malignancy	skipped_insufficient_cells	skipped_insufficient_cells	3
neuroendocrine_malignancy	skipped_insufficient_cells	success	2
neuroendocrine_malignancy	success	skipped_insufficient_cells	4
neuroendocrine_malignancy	success	success	40
