sample_uid	sample_token	gse_id	cancer_type	candidate_policy	input_cells	candidate_cells	reference_cells	infercnv_status	infercnv_output_rows	copykat_status	copykat_output_rows	mapped_cells	unmapped_cells	duplicate_or_conflict_cells
GSE182109|GSM5518596_rGBM-01-A	GSE182109_GSM5518596_rGBM-01-A_b4083608de6b	GSE182109	Glioblastoma	cns_malignancy	4348	121	3584	success	121	skipped_insufficient_cells	0	4348	0	0
GSE182109|GSM5518597_rGBM-01-B	GSE182109_GSM5518597_rGBM-01-B_f23c19478a72	GSE182109	Glioblastoma	cns_malignancy	11043	355	8303	success	355	success	355	11043	0	0
GSE182109|GSM5518598_rGBM-01-C	GSE182109_GSM5518598_rGBM-01-C_841895bb466a	GSE182109	Glioblastoma	cns_malignancy	5685	111	4912	success	111	skipped_insufficient_cells	0	5685	0	0
GSE182109|GSM5518599_rGBM-01-D	GSE182109_GSM5518599_rGBM-01-D_429d510a4918	GSE182109	Glioblastoma	cns_malignancy	6074	654	4038	success	654	success	654	6074	0	0
GSE182109|GSM5518600_ndGBM-01-A	GSE182109_GSM5518600_ndGBM-01-A_ee6e142c6e23	GSE182109	Glioblastoma	cns_malignancy	4702	3884	459	success	3884	success	3884	4702	0	0
GSE182109|GSM5518601_ndGBM-01-C	GSE182109_GSM5518601_ndGBM-01-C_bef23b1c7a0e	GSE182109	Glioblastoma	cns_malignancy	9587	8456	521	success	8456	success	8456	9587	0	0
GSE182109|GSM5518602_ndGBM-01-D	GSE182109_GSM5518602_ndGBM-01-D_1cd27c76b5e0	GSE182109	Glioblastoma	cns_malignancy	8708	6473	1937	success	6473	success	6473	8708	0	0
GSE182109|GSM5518603_ndGBM-01-F	GSE182109_GSM5518603_ndGBM-01-F_b0d019ec6243	GSE182109	Glioblastoma	cns_malignancy	5032	807	3980	success	807	success	807	5032	0	0
GSE182109|GSM5518604_ndGBM-11-A	GSE182109_GSM5518604_ndGBM-11-A_7451f837170f	GSE182109	Glioblastoma	cns_malignancy	561	0	442	skipped_insufficient_cells	0	skipped_insufficient_cells	0	561	0	0
GSE182109|GSM5518605_ndGBM-11-B	GSE182109_GSM5518605_ndGBM-11-B_b7844e8b3edc	GSE182109	Glioblastoma	cns_malignancy	374	0	323	skipped_insufficient_cells	0	skipped_insufficient_cells	0	374	0	0
GSE182109|GSM5518606_ndGBM-11-C	GSE182109_GSM5518606_ndGBM-11-C_3e10281f28fc	GSE182109	Glioblastoma	cns_malignancy	2472	83	2049	success	83	skipped_insufficient_cells	0	2472	0	0
GSE182109|GSM5518607_ndGBM-11-D	GSE182109_GSM5518607_ndGBM-11-D_25df314ed233	GSE182109	Glioblastoma	cns_malignancy	1096	2	898	skipped_insufficient_cells	0	skipped_insufficient_cells	0	1096	0	0
GSE182109|GSM5518608_ndGBM-02-1	GSE182109_GSM5518608_ndGBM-02-1_ac295836b7b6	GSE182109	Glioblastoma	cns_malignancy	7774	1232	2769	success	1232	success	1232	7774	0	0
GSE182109|GSM5518609_ndGBM-02-2	GSE182109_GSM5518609_ndGBM-02-2_bff417455389	GSE182109	Glioblastoma	cns_malignancy	5853	231	4343	success	231	success	231	5853	0	0
GSE182109|GSM5518610_ndGBM-02-4	GSE182109_GSM5518610_ndGBM-02-4_9aad433f6498	GSE182109	Glioblastoma	cns_malignancy	5858	951	3342	success	951	success	951	5858	0	0
GSE182109|GSM5518611_ndGBM-02-5	GSE182109_GSM5518611_ndGBM-02-5_43f7b3e67aac	GSE182109	Glioblastoma	cns_malignancy	6902	1258	3503	success	1258	success	1258	6902	0	0
GSE182109|GSM5518612_rGBM-02-2	GSE182109_GSM5518612_rGBM-02-2_44c6c474c240	GSE182109	Glioblastoma	cns_malignancy	2173	18	1071	skipped_insufficient_cells	0	skipped_insufficient_cells	0	2173	0	0
GSE182109|GSM5518613_rGBM-02-3	GSE182109_GSM5518613_rGBM-02-3_de0fe03dda96	GSE182109	Glioblastoma	cns_malignancy	9359	941	6836	success	941	success	941	9359	0	0
GSE182109|GSM5518614_rGBM-02-4	GSE182109_GSM5518614_rGBM-02-4_cfd37c1a0ce9	GSE182109	Glioblastoma	cns_malignancy	797	5	593	skipped_insufficient_cells	0	skipped_insufficient_cells	0	797	0	0
GSE182109|GSM5518615_rGBM-02-5	GSE182109_GSM5518615_rGBM-02-5_9038e747d3d5	GSE182109	Glioblastoma	cns_malignancy	10300	77	5653	success	77	skipped_insufficient_cells	0	10300	0	0
GSE182109|GSM5518616_rGBM-03-1	GSE182109_GSM5518616_rGBM-03-1_938705ae42c3	GSE182109	Glioblastoma	cns_malignancy	3717	2905	509	success	2905	success	2905	3717	0	0
GSE182109|GSM5518617_rGBM-03-2	GSE182109_GSM5518617_rGBM-03-2_8f8058544676	GSE182109	Glioblastoma	cns_malignancy	1657	711	541	success	711	success	711	1657	0	0
GSE182109|GSM5518618_rGBM-03-3	GSE182109_GSM5518618_rGBM-03-3_afd75af84a21	GSE182109	Glioblastoma	cns_malignancy	4024	1683	1910	success	1683	success	1683	4024	0	0
GSE182109|GSM5518619_rGBM-04-1	GSE182109_GSM5518619_rGBM-04-1_d787aed1075e	GSE182109	Glioblastoma	cns_malignancy	6318	4884	1142	success	4884	success	4884	6318	0	0
GSE182109|GSM5518620_rGBM-04-2	GSE182109_GSM5518620_rGBM-04-2_1c30547e093e	GSE182109	Glioblastoma	cns_malignancy	6411	4412	1527	success	4412	success	4412	6411	0	0
GSE182109|GSM5518621_rGBM-04-3	GSE182109_GSM5518621_rGBM-04-3_6ee3d7357e49	GSE182109	Glioblastoma	cns_malignancy	7810	5551	1830	success	5551	success	5551	7810	0	0
