sample_uid	sample_token	gse_id	cancer_type	candidate_policy	n_cells	n_candidate	n_reference	infercnv_status	copykat_status	explanation
GSE182109|GSM5518596_rGBM-01-A	GSE182109_GSM5518596_rGBM-01-A_b4083608de6b	GSE182109	Glioblastoma	cns_malignancy	4348	121	3584	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE182109|GSM5518598_rGBM-01-C	GSE182109_GSM5518598_rGBM-01-C_841895bb466a	GSE182109	Glioblastoma	cns_malignancy	5685	111	4912	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE182109|GSM5518604_ndGBM-11-A	GSE182109_GSM5518604_ndGBM-11-A_7451f837170f	GSE182109	Glioblastoma	cns_malignancy	561	0	442	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE182109|GSM5518605_ndGBM-11-B	GSE182109_GSM5518605_ndGBM-11-B_b7844e8b3edc	GSE182109	Glioblastoma	cns_malignancy	374	0	323	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE182109|GSM5518606_ndGBM-11-C	GSE182109_GSM5518606_ndGBM-11-C_3e10281f28fc	GSE182109	Glioblastoma	cns_malignancy	2472	83	2049	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE182109|GSM5518607_ndGBM-11-D	GSE182109_GSM5518607_ndGBM-11-D_25df314ed233	GSE182109	Glioblastoma	cns_malignancy	1096	2	898	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE182109|GSM5518612_rGBM-02-2	GSE182109_GSM5518612_rGBM-02-2_44c6c474c240	GSE182109	Glioblastoma	cns_malignancy	2173	18	1071	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE182109|GSM5518614_rGBM-02-4	GSE182109_GSM5518614_rGBM-02-4_cfd37c1a0ce9	GSE182109	Glioblastoma	cns_malignancy	797	5	593	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE182109|GSM5518615_rGBM-02-5	GSE182109_GSM5518615_rGBM-02-5_9038e747d3d5	GSE182109	Glioblastoma	cns_malignancy	10300	77	5653	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE182109|GSM5518624_ndGBM-03-2	GSE182109_GSM5518624_ndGBM-03-2_899302ae848b	GSE182109	Glioblastoma	cns_malignancy	2426	171	2185	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE182109|GSM5518629_ndGBM-10	GSE182109_GSM5518629_ndGBM-10_1514b6cdbd91	GSE182109	Glioblastoma	cns_malignancy	11183	0	9993	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029425-1	GSE253013_US-10029425-1_b5a64d2b023c	GSE253013	ADENOCARCINOMA	epithelial_solid_default	5111	162	3828	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE253013|US-10029425-2	GSE253013_US-10029425-2_974a2a138ce1	GSE253013	ADENOCARCINOMA	epithelial_solid_default	4712	150	3496	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE253013|US-10029425-3	GSE253013_US-10029425-3_c9278f10076d	GSE253013	ADENOCARCINOMA	epithelial_solid_default	3897	120	2898	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE253013|US-10029425-4	GSE253013_US-10029425-4_7967b1f62b6b	GSE253013	ADENOCARCINOMA	epithelial_solid_default	4724	143	3402	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
GSE253013|US-10029425-5	GSE253013_US-10029425-5_70bc584c84cc	GSE253013	ADENOCARCINOMA	epithelial_solid_default	5399	28	4583	skipped_insufficient_cells	skipped_insufficient_cells	inferCNVpy: candidate/reference below method threshold; Copykat_python: candidate/reference below method threshold
GSE253013|US-10029425-6	GSE253013_US-10029425-6_e3e079fb09e7	GSE253013	ADENOCARCINOMA	epithelial_solid_default	5255	31	4398	success	skipped_insufficient_cells	Copykat_python: candidate/reference below method threshold
