artifact_id	logical_path	bytes	sha256	disposition	status	notes
V8_STATUS_20260916	${PROJECT_ROOT}/Project_v3/v8_upgrade/STATUS.md	7620	4a19bcf5e020733e2312c1506c83a27059b1d0e3565c1ffede63c4e745b8fa55	copied_exact	NOT_FROZEN	Generated global status and known-issue summary
V8_MANIFEST_MYELOID_DC	${PROJECT_ROOT}/Project_v3/v8_upgrade/freezes/manifests/Myeloid_DC.json	9068	95393ead6dc9c74961a8d6851b5007046e42733ea603e1e373238f43548f731f	copied_exact	PILOT_FROZEN	Held-out outputs existed before split; no writeback
V8_MANIFEST_T_NK	${PROJECT_ROOT}/Project_v3/v8_upgrade/freezes/manifests/T_NK.json	7767	059be94945927582c118fbe88da8c3ee6ca0dfa3b9171f0d2634f4dd65e79cfd	copied_exact	PILOT_FROZEN_HELDOUT_COMPROMISED	GSE116256 used in decision; no held-out claim
V8_MANIFEST_FIBROBLAST	${PROJECT_ROOT}/Project_v3/v8_upgrade/freezes/manifests/Fibroblast.json	6840	24efc15f69afed6ce77eff5522d292cc935e3f81e4e07c40cc193bc481c0cae8	copied_exact	PILOT_FROZEN	Held-out exposure clean; no writeback
V8_MANIFEST_ENDOTHELIAL	${PROJECT_ROOT}/Project_v3/v8_upgrade/freezes/manifests/Endothelial.json	7042	43ac89cf273236aa93cc1facddc75ab29c2849c699d797dc694c91e412064ed3	copied_exact	PILOT_FROZEN	Held-out exposure clean; no writeback
V8_MANIFEST_B_PLASMA	${PROJECT_ROOT}/Project_v3/v8_upgrade/freezes/manifests/B_Plasma.json	12180	ebdaae256abbdb254ef4f7043979a08bb791e687b745852e1f15e2aa63641916	copied_exact	DEVELOPMENT_FROZEN	Competing-lineage fallback issue; no writeback
V8_KNOWN_ISSUES	${PROJECT_ROOT}/Project_v3/v8_upgrade/freezes/known_issues_20260916.json	5407	34ad5ba2f6ad1c0e026fdc44b137a884b6d396eed03379405393ae93aa1b5bb3	external_only	audit_evidence	Redundant machine-readable issue register
V8_HELDOUT_EXPOSURE	${PROJECT_ROOT}/Project_v3/v8_upgrade/audits/20260916_heldout_exposure_v1/exposure_findings_v1.json	4921	3e57d6bb1a905c2640b24079bb79a278c53d863c2e74974e76fd7c443e0d05f4	external_only	audit_evidence	Myeloid and T/NK held-out exposure audit
V8_BPLASMA_CONTAMINATION	${PROJECT_ROOT}/Project_v3/v8_upgrade/audits/20260916_bplasma_contamination_v1/diagnosis_summary_v1.json	2203	be80a0dcb4ed18009df2a35263f21db528011ec8b34769d746e8ce88f55cfa40	external_only	diagnostic	Taxonomy unchanged
V8_FIBROBLAST_SENSITIVITY	${PROJECT_ROOT}/Project_v3/v8_upgrade/audits/20260916_clustering_sensitivity_v1/fibroblast_20260913_summary.json	3193	540bb4456315dfdfccc109db0b679bd5721dd38a1649e71623abdedb00eda76c	external_only	sensitivity_audit	Clustering sensitivity only
V8_ENDOTHELIAL_SENSITIVITY	${PROJECT_ROOT}/Project_v3/v8_upgrade/audits/20260916_clustering_sensitivity_v1/endothelial_20260914_summary.json	3195	f7dc6f618f995299d36476bc40836de6aa7764fac84809fb8f2b1115a446e922	external_only	sensitivity_audit	Clustering sensitivity only
V8_PANEL_VALIDATION	${PROJECT_ROOT}/Project_v3/v8_upgrade/audits/20260917_panel_validation_v1/raw_v3/summary.json	6523	da03a7d80920b22872a0b4a1185fb34b7766fc2b5539deb414d72ff3e53a2575	external_only	panel_audit	Marker-panel audit; not a freeze artifact
V8_BPLASMA_DECONTX	${PROJECT_ROOT}/Project_v3/v8_upgrade/audits/20260917_bplasma_decontx_crosscheck_v1/summary.json	1682	a0e0238d24132ead1b0776bfd752bd57d16d854fb736af385d5cdf977be2ba15	external_only	diagnostic	Taxonomy unchanged
