axis	cm	hypothesis	sender	receiver	ligand	receptor	sc_n_samples	sc_n_gse	sc_n_cancer	sc_support_frac	sc_top_gse_share	sc_robust_strict_ratio	sc_spec_rank_median	spatial_visium	cosmx_adjacency	cosmx_cd8_exclusion	cosmx_receiver_emt	tcga_OS_proxy_beyond_parent	ici_response_proxy_beyond_parent	ici_OS_proxy_beyond_parent	literature
CM07_COL1A1_DDR1_myCAF_to_Malignant	CM07	primary	Fibroblast_myCAF_ACTA2	Malignant::Epithelial	COL1A1	DDR1	115	28	22	0.567	0.122	0.574	6.179416991785351e-06	not tested	DDR1+ tumour has FEWER collagen-hi CAF neighbours (perm p 0.042); NOT juxtacrine in ccRCC	local collagen beta -0.12 (p<1e-10 3/3), DDR1 beta -0.08 (p<1e-14 3/3) vs CD8 nbr count; CD8 sit 556 vs 100 um from interface-hi/lo tumour (3/3 p<1e-30)	tumour EMT program ~ local collagen beta +0.04 and own DDR1 beta +0.02 (all p<1e-8)	proxy HR 0.96 p 6.2e-02 (in C); LRT C vs A p 6.4e-02; parent alone HR 1.19	Hugo2016_mel: proxy OR 6.72 p 0.04; AUC_loo 0.77 (perm p 0.004); LRT vs parent p 0.01	Rose2021_uro: proxy HR 1.17 p 0.28; LRT p 0.27	DDR1 = collagen receptor tyrosine kinase; collagen-DDR1 drives CD8 exclusion via aligned collagen / DDR1-SRC in PDAC & NSCLC (Sun 2021 Nature; Nadanaka; Rammal 2016).
CM07_COL1A1_DDR2_myCAF_autocrine	CM07	context	Fibroblast_myCAF_ACTA2	Fibroblast_myCAF_ACTA2	COL1A1	DDR2	238	34	28	0.625	0.097	0.479	3.63108585462629e-07	not tested							
CM07_COL1A1_CD44_myCAF_to_MonoInflam	CM07	context	Fibroblast_myCAF_ACTA2	Monocyte_Inflammatory_IL1B_IL1B	COL1A1	CD44	145	34	27	0.924	0.09	0.91	0.0002842560257084	2/5 datasets co-loc z>0 (med z -0.5)							
CM07_COL1A1_ITGA1B1_myCAF_autocrine	CM07	context	Fibroblast_myCAF_ACTA2	Fibroblast_myCAF_ACTA2	COL1A1	ITGA1_ITGB1	251	40	32	0.659	0.096	0.645	4.008839805150453e-06	not tested							
CM08_LGALS1_PTPRC_myCAF_to_CD8T	CM08	primary	Fibroblast_myCAF_ACTA2	Tcell_CD8_cytotoxic_CCL5	LGALS1	PTPRC	291	41	33	0.918	0.103	0.423	0.0119748057865406	2/5 datasets co-loc z>0 (med z -1.4)				proxy HR 1.15 p 1.6e-05 (in C); LRT C vs A p 1.7e-05; parent alone HR 1.06	IMvigor210_uro: proxy OR 0.59 p 0.06; AUC_loo 0.53 (perm p 0.222); LRT vs parent p 0.06	Rose2021_uro: proxy HR 1.98 p 0.00; LRT p 0.00	Galectin-1 from CAFs promotes T-cell apoptosis / exclusion (Nambiar 2019; Cousin 2016).
CM08_MYL9_CD69_myCAF_to_CD8T	CM08	context	Fibroblast_myCAF_ACTA2	Tcell_CD8_cytotoxic_CCL5	MYL9	CD69	307	39	31	0.968	0.101	0.792	0.0002643800358019	not tested							
CM08_COL1A1_CD44_myCAF_to_CD8T	CM08	context	Fibroblast_myCAF_ACTA2	Tcell_CD8_cytotoxic_CCL5	COL1A1	CD44	265	39	31	0.836	0.102	0.653	0.0041672393250003	not tested							
CM08_S100A9_CD68_MonoInflam_to_MacInflam	CM08	context	Monocyte_Inflammatory_IL1B_IL1B	Macrophage_Inflammatory_IL1B_IL1B	S100A9	CD68	317	41	34	0.991	0.11	0.918	0.0001199915598426	5/5 datasets co-loc z>0 (med z 3.7)							S100A8/A9 amplifies myeloid inflammation / MDSC recruitment (Wang 2018).
CM08_S100A8_CD69_MonoInflam_to_CD8T	CM08	context	Monocyte_Inflammatory_IL1B_IL1B	Tcell_CD8_cytotoxic_CCL5	S100A8	CD69	324	41	34	0.947	0.127	0.867	0.0005519598695176	4/5 datasets co-loc z>0 (med z 0.5)							
CM01_S100A9_CD68_FCN1Mono_to_SPP1Mac	CM01	primary	Monocyte_Classical_FCN1_FCN1	Macrophage_SPP1_TREM2_SPP1	S100A9	CD68	66	23	22	1.0	0.152	0.955	4.75594386782485e-05	not tested				proxy HR 1.25 p 2.7e-25 (in C); LRT C vs A p 1.3e-25; parent alone HR 0.96	Riaz2017_mel_all: proxy OR 0.52 p 0.04; AUC_loo 0.71 (perm p 0.001); LRT vs parent p 0.03	IMvigor210_uro: proxy HR 1.21 p 0.01; LRT p 0.01	FCN1 monocyte -> SPP1 TAM transition is a conserved pan-cancer trajectory (Cheng 2021 Cell; Bill 2023 Science).
CM01_C1QA_CD93_SPP1Mac_to_Endo	CM01	context	Macrophage_SPP1_TREM2_SPP1	Endothelial_Blood_PECAM1	C1QA	CD93	121	30	25	1.0	0.149	0.992	7.700657983566781e-07	4/5 datasets co-loc z>0 (med z 2.6)				proxy HR 1.25 p 2.7e-25 (in C); LRT C vs A p 1.3e-25; parent alone HR 0.96	Riaz2017_mel_all: proxy OR 0.52 p 0.04; AUC_loo 0.71 (perm p 0.001); LRT vs parent p 0.03	IMvigor210_uro: proxy HR 1.21 p 0.01; LRT p 0.01	C1Q+ TAM - endothelial CD93 crosstalk at the perivascular niche (Mulder 2021).
CM01_APP_CD74_Endo_to_SPP1Mac	CM01	context	Endothelial_Blood_PECAM1	Macrophage_SPP1_TREM2_SPP1	APP	CD74	121	30	25	1.0	0.149	0.793	0.0046897700111181	2/5 datasets co-loc z>0 (med z -5.1)							
