ligand_complex	receptor_complex	target	n_samples	n_gse	n_cancer	mag_rank_median	lr_means_median
COL1A1	DDR2	Fibroblast_myCAF_ACTA2	238	34	28	0.01005953158584275	2.4958438999999997
COL1A1	DDR1	Malignant::Epithelial	115	28	22	0.0087464201821397	2.4927008
COL1A1	DDR1	Bcell_unresolved	12	5	6	0.02602493195753395	2.38777685
COL1A1	DDR1	Plasma_unresolved	7	4	4	0.0153498746450459	2.4416857
COL1A1	DDR1	Granulocyte_unresolved	4	3	3	0.03849728459330685	2.3993981499999997
COL1A1	DDR2	Endothelial_Blood_PECAM1	3	2	2	0.0329842914266947	1.8736545
COL1A1	DDR1	Monocyte_Inflammatory_IL1B_IL1B	2	2	2	0.00659123086907175	2.3996272999999997
COL1A1	DDR1	Macrophage_unresolved	2	2	2	0.0124534339002396	2.4097087
COL1A1	DDR1	Endothelial_unresolved	1	1	1	0.0160394816733919	2.1614945
COL1A1	DDR1	Macrophage_Inflammatory_IL1B_IL1B	1	1	1	0.0239352079631371	2.139814
COL1A1	DDR1	Mast_unresolved	1	1	1	0.0085326096123542	2.5038486
COL1A1	DDR2	Endothelial_Venous_ACKR1_ACKR1	1	1	1	0.0479854486586819	1.7876216
COL1A1	DDR2	Malignant::Epithelial	1	1	1	0.0270111447178595	2.6795056
