axis	cm	source	target	ligand	receptor	group	hypothesis
CM07_COL1A1_DDR1_myCAF_to_Malignant	CM07	Fibroblast_myCAF_ACTA2	Malignant::Epithelial	COL1A1	DDR1	CM07_desmoplasia	primary
CM07_COL1A1_DDR2_myCAF_autocrine	CM07	Fibroblast_myCAF_ACTA2	Fibroblast_myCAF_ACTA2	COL1A1	DDR2	CM07_desmoplasia	context
CM07_COL1A1_CD44_myCAF_to_MonoInflam	CM07	Fibroblast_myCAF_ACTA2	Monocyte_Inflammatory_IL1B_IL1B	COL1A1	CD44	CM07_desmoplasia	context
CM07_COL1A1_ITGA1B1_myCAF_autocrine	CM07	Fibroblast_myCAF_ACTA2	Fibroblast_myCAF_ACTA2	COL1A1	ITGA1_ITGB1	CM07_desmoplasia	context
CM08_LGALS1_PTPRC_myCAF_to_CD8T	CM08	Fibroblast_myCAF_ACTA2	Tcell_CD8_cytotoxic_CCL5	LGALS1	PTPRC	CM08_myCAF_immune	primary
CM08_MYL9_CD69_myCAF_to_CD8T	CM08	Fibroblast_myCAF_ACTA2	Tcell_CD8_cytotoxic_CCL5	MYL9	CD69	CM08_myCAF_immune	context
CM08_COL1A1_CD44_myCAF_to_CD8T	CM08	Fibroblast_myCAF_ACTA2	Tcell_CD8_cytotoxic_CCL5	COL1A1	CD44	CM08_myCAF_immune	context
CM08_S100A9_CD68_MonoInflam_to_MacInflam	CM08	Monocyte_Inflammatory_IL1B_IL1B	Macrophage_Inflammatory_IL1B_IL1B	S100A9	CD68	CM08_myeloid	context
CM08_S100A8_CD69_MonoInflam_to_CD8T	CM08	Monocyte_Inflammatory_IL1B_IL1B	Tcell_CD8_cytotoxic_CCL5	S100A8	CD69	CM08_myeloid	context
CM01_S100A9_CD68_FCN1Mono_to_SPP1Mac	CM01	Monocyte_Classical_FCN1_FCN1	Macrophage_SPP1_TREM2_SPP1	S100A9	CD68	CM01_FCN1_SPP1	primary
CM01_C1QA_CD93_SPP1Mac_to_Endo	CM01	Macrophage_SPP1_TREM2_SPP1	Endothelial_Blood_PECAM1	C1QA	CD93	CM01_FCN1_SPP1	context
CM01_APP_CD74_Endo_to_SPP1Mac	CM01	Endothelial_Blood_PECAM1	Macrophage_SPP1_TREM2_SPP1	APP	CD74	CM01_FCN1_SPP1	context
