axis	cm	group	hypothesis	source	target	ligand	receptor	n_eligible_samples	n_eligible_gse	n_eligible_cancer_types	n_rows_any	n_samples_strict_0.01	n_gse_strict_0.01	n_cancer_strict_0.01	support_frac_strict_0.01	n_samples_standard_0.05	n_gse_standard_0.05	n_cancer_standard_0.05	support_frac_standard_0.05	n_samples_loose_0.10	n_gse_loose_0.10	n_cancer_loose_0.10	support_frac_loose_0.10	top_gse_share	top_gse	n_gse_ge3_samples	n_cancer_ge2_samples	loGSEo_min_n_gse	mag_rank_median	mag_rank_iqr	spec_rank_median	lr_means_median	lrscore_median	robust_strict_vs_std
CM07_COL1A1_DDR1_myCAF_to_Malignant	CM07	CM07_desmoplasia	primary	Fibroblast_myCAF_ACTA2	Malignant::Epithelial	COL1A1	DDR1	203	31	26	202	66	26	21	0.3251231527093596	115	28	22	0.5665024630541872	143	29	23	0.7044334975369458	0.12173913043478261	GSE161529	17	19	27	0.0087464201821397	0.017972798827120297	6.179416991785351e-06	2.4927008	0.8916431	0.5739130434782609
CM07_COL1A1_DDR2_myCAF_autocrine	CM07	CM07_desmoplasia	context	Fibroblast_myCAF_ACTA2	Fibroblast_myCAF_ACTA2	COL1A1	DDR2	381	41	33	376	114	29	24	0.2992125984251969	238	34	28	0.6246719160104987	279	36	29	0.7322834645669292	0.09663865546218488	GSE161529	27	25	33	0.01005953158584275	0.0204885748268291	3.6310858546262894e-07	2.4958438999999997	0.888557885	0.4789915966386555
CM07_COL1A1_CD44_myCAF_to_MonoInflam	CM07	CM07_desmoplasia	context	Fibroblast_myCAF_ACTA2	Monocyte_Inflammatory_IL1B_IL1B	COL1A1	CD44	157	34	27	157	132	33	26	0.8407643312101911	145	34	27	0.9235668789808917	146	34	27	0.9299363057324841	0.0896551724137931	GSE183904	21	23	33	0.0001133252881263	0.0013757589194540894	0.0002842560257084	3.0646272	0.9260402	0.9103448275862069
CM07_COL1A1_ITGA1B1_myCAF_autocrine	CM07	CM07_desmoplasia	context	Fibroblast_myCAF_ACTA2	Fibroblast_myCAF_ACTA2	COL1A1	ITGA1_ITGB1	381	41	33	365	162	33	28	0.4251968503937008	251	40	32	0.6587926509186351	283	40	32	0.7427821522309711	0.09561752988047809	GSE183904	27	27	39	0.005366306762327	0.01331925526031615	4.008839805150453e-06	2.555798	0.8974333	0.6454183266932271
CM08_LGALS1_PTPRC_myCAF_to_CD8T	CM08	CM08_myCAF_immune	primary	Fibroblast_myCAF_ACTA2	Tcell_CD8_cytotoxic_CCL5	LGALS1	PTPRC	317	41	33	317	123	33	28	0.38801261829652994	291	41	33	0.917981072555205	310	41	33	0.9779179810725552	0.10309278350515463	GSE183904	28	28	40	4.857875550936176e-05	0.00022367024984397353	0.0119748057865406	3.300591	0.93439704	0.422680412371134
CM08_MYL9_CD69_myCAF_to_CD8T	CM08	CM08_myCAF_immune	context	Fibroblast_myCAF_ACTA2	Tcell_CD8_cytotoxic_CCL5	MYL9	CD69	317	41	33	317	243	38	31	0.7665615141955836	307	39	31	0.9684542586750788	313	40	32	0.9873817034700315	0.10097719869706841	GSE183904	31	27	38	0.0021209166878629	0.0059424263010280495	0.0002643800358019	2.61133	0.91999	0.7915309446254072
CM08_COL1A1_CD44_myCAF_to_CD8T	CM08	CM08_myCAF_immune	context	Fibroblast_myCAF_ACTA2	Tcell_CD8_cytotoxic_CCL5	COL1A1	CD44	317	41	33	317	173	37	30	0.5457413249211357	265	39	31	0.8359621451104101	285	40	32	0.8990536277602523	0.1018867924528302	GSE183904	29	28	38	0.0022990509667653	0.0069792468081927	0.0041672393250003	2.5728416	0.91330236	0.6528301886792452
CM08_S100A9_CD68_MonoInflam_to_MacInflam	CM08	CM08_myeloid	context	Monocyte_Inflammatory_IL1B_IL1B	Macrophage_Inflammatory_IL1B_IL1B	S100A9	CD68	320	41	34	320	291	41	34	0.909375	317	41	34	0.990625	317	41	34	0.990625	0.11041009463722397	GSE253013	32	33	40	9.162077375122734e-05	0.0006484184838251519	0.0001199915598426	3.2445183	0.93246317	0.917981072555205
CM08_S100A8_CD69_MonoInflam_to_CD8T	CM08	CM08_myeloid	context	Monocyte_Inflammatory_IL1B_IL1B	Tcell_CD8_cytotoxic_CCL5	S100A8	CD69	342	43	36	342	281	40	33	0.8216374269005848	324	41	34	0.9473684210526315	331	42	35	0.9678362573099415	0.12654320987654322	GSE178341	33	31	40	0.0003367190159575	0.001433144829771785	0.00055195986951765	3.08507875	0.92973471	0.8672839506172839
CM01_S100A9_CD68_FCN1Mono_to_SPP1Mac	CM01	CM01_FCN1_SPP1	primary	Monocyte_Classical_FCN1_FCN1	Macrophage_SPP1_TREM2_SPP1	S100A9	CD68	66	23	22	66	63	23	22	0.9545454545454546	66	23	22	1.0	66	23	22	1.0	0.15151515151515152	GSE178341	11	13	22	2.7167812427953795e-05	0.0001724463186917728	4.75594386782485e-05	3.4248011500000004	0.93021032	0.9545454545454546
CM01_C1QA_CD93_SPP1Mac_to_Endo	CM01	CM01_FCN1_SPP1	context	Macrophage_SPP1_TREM2_SPP1	Endothelial_Blood_PECAM1	C1QA	CD93	121	30	25	121	120	30	25	0.9917355371900827	121	30	25	1.0	121	30	25	1.0	0.1487603305785124	GSE178341	19	21	29	5.1045240795918656e-05	0.00017886283041332004	7.700657983566781e-07	3.2123244	0.9216372	0.9917355371900827
CM01_APP_CD74_Endo_to_SPP1Mac	CM01	CM01_FCN1_SPP1	context	Endothelial_Blood_PECAM1	Macrophage_SPP1_TREM2_SPP1	APP	CD74	121	30	25	121	96	29	25	0.7933884297520661	121	30	25	1.0	121	30	25	1.0	0.1487603305785124	GSE178341	19	21	29	3.628488070209629e-07	2.974969405211336e-06	0.0046897700111181	3.8302417	0.93520087	0.7933884297520661
