artifact_id	logical_path	bytes	sha256	lock_status	notes
RAW_COUNTS_ZARR	${PROJECT_ROOT}/Project_v3/runs/20260818_pancancer_5M_merge_prep/02_merge_new_cohort/objects/5M_merge_concat.zarr	14207049627	33440b3325f37ceea03143f794e9c0163f62628e4b5b791d140eeea8af84faa0	directory_merkle_locked	13696 files; root is SHA-256 of path-sorted sha256sum output with ./ relative paths
V5_PARENT_CHECKPOINT	${PROJECT_ROOT}/Project_v3/runs/20260818_pancancer_5M_merge_prep/10_final_v5_malignancy_covarnet_liana/20260825_v5_final_v1/checkpoints/final_annotation_v6_identity_v5_malignancy_v3.pkl.gz	162863520	42def2809f562e62c95922d30d1fff60fce0ed25ed8e297f3fa9c9a6e2449331	locked	historical metadata parent
V2_IDENTITY_PARENT	${PROJECT_ROOT}/Project_v3/runs/20260818_pancancer_5M_merge_prep/07_fine_annotation/20260905_uncertainty_resolution_v1/checkpoints/annotation_uncertainty_resolution_v2.pkl.gz	62192387	743d5327b4ea5444f8eb55ea249aed77094246deb4972ff72f809676d0b6db51	locked	identity parent of V7
HG38_GENCODE_V27_COORDS	${PROJECT_ROOT}/Project_v3/runs/20260818_pancancer_5M_merge_prep/08_malignancy_cancer_aware/20260824_refined_major_v1/config/hg38_gencode_v27_hgnc_symbol_fixed.txt	1848796	83c6e10ca77a0e182a33f7668538239b62fb2d4ec2c1721266fe96ddb893d3b9	locked	10432/10432 gene mapping in preflight
V7_RUNNER	${V7_RUN_ROOT}/scripts/run_v7_pipeline_v4.sh	1669	bc1f358053a0c55668b83da1162d803dac0c9d06b931a28efec05677be3cab11	locked	actual orchestration entrypoint; not portable without path adaptation
INFERCNVPY_ENGINE	${PROJECT_ROOT}/Project_v3/runs/20260818_pancancer_5M_merge_prep/08_malignancy_cancer_aware/20260824_refined_major_v1/scripts/01_run_infercnvpy_per_sample.py	11189	fb34b3fc5da46197293844d4f89a8f5e5bcc012d45451a4676f0c243a48e7de3	locked	dynamically loaded engine
COPYKAT_PYTHON_ENGINE	${PROJECT_ROOT}/Project_v3/runs/20260818_pancancer_5M_merge_prep/08_malignancy_cancer_aware/20260824_refined_major_v1/scripts/02_run_copykat_python_per_sample.py	12649	e773479c9ea85401c80ebf3af23b001eacc90261c622fca259ae25553e8513cc	locked	dynamically loaded engine; genome hg20 requires author review
CNV_INTEGRATION_ENGINE	${PROJECT_ROOT}/Project_v3/runs/20260818_pancancer_5M_merge_prep/08_malignancy_cancer_aware/20260824_refined_major_v1/scripts/03_integrate_cancer_aware_evidence.py	15766	9d6ed11f1c6c63fca011f83202204907323bff1d23e923692755f06fc84034af	locked	dynamically loaded engine
V7_FREEZE_SENTINEL	${V7_RUN_ROOT}/FROZEN_V7.json	1332	c8e901351f8a6691299852f67b571ced2e2ac15cabf0b73932efda9270a9f0f2	locked	identical to freeze summary
V7_INTEGRATION_SUMMARY	${V7_RUN_ROOT}/reports/03_v7_integration_summary.json	447	39aa6e52520c8919c3beb9bcd8fa9f2eb43572845c9ef73df46cf0cf94297b37	locked	CNV mapping summary
V7_FREEZE_SUMMARY	${V7_RUN_ROOT}/reports/04_v7_freeze_summary.json	1332	c8e901351f8a6691299852f67b571ced2e2ac15cabf0b73932efda9270a9f0f2	locked	final freeze summary
V7_FINAL_ANNOTATION	${V7_RUN_ROOT}/checkpoints/final_annotation_v7.pkl.gz	222493237	e4fda365b2bfa9ea6f82b9b48c4ce6009a0bf31dcfb5a57e7e94cab6d8d3981e	locked	global identity and malignancy reference
V7_OBS_ONLY_H5AD	${V7_RUN_ROOT}/objects/final_annotation_v7_obs_only.h5ad	502199472	e5b68d7e5f127bcdcdadc3aaa94a9bce027ec032e6b82e68e5847ea5ccf7b38e	locked	downstream metadata entry
